المدن المدينة,تفاصيل الصفقات الحي,تفاصيل الصفقات المخطط,تفاصيل الصفقات عدد ا…,تفاصيل الصفقات التار…,تفاصيل الصفقات (رقم…,السعر بالريال السعودي,المساحة بالمتر المربع,سعر المتر المربع
جده,حي/الاجاويد,مخطط/295/ ب,قطعة 1215,01/04/2021,12439402,"1,050,000",745.5,1408
جده,حي/الاجاويد,مخطط/295/ ب,قطعة 327,12/04/2021,12538825,"400,000",600,667
جده,حي/الاجاويد,مخطط/295/ ب,قطعة 379,04/04/2021,12450426,"800,000",550,1455
جده,حي/الاجاويد,مخطط/323/ ب,قطعة 773,25/04/2021,12638495,"920,000",600,1533
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 121,26/04/2021,12638481,"1,100,000",720,1528
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 18,13/04/2021,12543229,"671,688",900,746
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 220/1,23/04/2021,12629461,"450,000",450,1000
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 570/ب,05/04/2021,12461417,"200,000",450,444
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 75/ب,11/04/2021,12521782,"892,356",421.08,2119
جده,حي/الاجواد,مخطط/223/ ب,قطعة 1200,15/04/2021,12560798,"500,000",400,1250
جده,حي/الاجواد,مخطط/223/ ب,قطعة 147,13/04/2021,12543395,"930,000",400,2325
جده,حي/الاجواد,مخطط/223/ ب,قطعة 2266/أ,04/04/2021,12446233,"600,000",337.5,1778
جده,حي/الاصالة,مخطط/372/ ب,قطعة 1061,22/04/2021,12629264,"1,200,000",600,2000
جده,حي/الاصالة,مخطط/372/ ب,قطعة 197,27/04/2021,13189724,"835,502",526.84,1586
جده,حي/الاصالة,مخطط/372/ ب,قطعة 305,05/04/2021,12457324,"500,000",600,833
جده,حي/الاصالة,مخطط/372/ ب,قطعة 367/ب,08/04/2021,12495968,"900,000",300,3000
جده,حي/الاصالة,مخطط/372/ ب,قطعة 45,01/04/2021,12439040,"750,000",645,1163
جده,حي/الاصالة,مخطط/372/ ب,قطعة 456/أ,03/04/2021,12440532,"1,300,000",300,4333
جده,حي/الاصالة,مخطط/372/ ب,قطعة 49,11/04/2021,12517221,"1,100,000",735.66,1495
جده,حي/الاصالة,مخطط/372/ ب,قطعة 537,08/04/2021,12491114,"900,000",600,1500
جده,حي/الاصالة,مخطط/372/ ب,قطعة 543/ب,05/04/2021,12457152,"1,150,000",300,3833
جده,حي/الاصالة,مخطط/372/ ب,قطعة 877,12/04/2021,12538840,"1,450,000",600,2417
جده,حي/الامواج,مخطط/251/ ب,قطعة 28,25/04/2021,12637445,"1,350,000",750,1800
