المدن المدينة,تفاصيل الصفقات الحي,تفاصيل الصفقات المخطط,تفاصيل الصفقات عدد ا…,تفاصيل الصفقات التار…,تفاصيل الصفقات (رقم…,السعر بالريال السعودي,المساحة بالمتر المربع,سعر المتر المربع
جده,حي/ابحر الشمالية,مخطط/440/ ب,قطعة 610/10/د,2021-04-08,12494618,"ر.س.‏ 1,400,000",625.0,2240
جده,حي/ابحر الشمالية,مخطط/440/ ب,قطعة 63/ب,2021-04-06,12474409,"ر.س.‏ 750,000",308.0,2435
جده,حي/ابحر الشمالية,مخطط/534/ س/ ت,قطعة 40,2021-04-05,12460984,"ر.س.‏ 950,000",260.88,3642
جده,حي/الأجواد,مخطط/223/ ب/ المعدل,قطعة 1225/3,2021-04-01,12439644,"ر.س.‏ 1,200,000",300.0,4000
جده,حي/الأجواد,مخطط/223/ ب/ المعدل,قطعة 2394,2021-04-28,13570820,"ر.س.‏ 1,291,300",500.0,2583
جده,حي/الأمير عبد المجيد,مخطط/258/ ج/ س,قطعة 409,2021-04-25,12638530,"ر.س.‏ 1,000,000",895.57,1117
جده,حي/الأمير عبد المجيد,مخطط/258/ ج/ س,قطعة 572,2021-04-04,12450364,"ر.س.‏ 2,500,000",1007.06,2482
جده,حي/الاجاويد,مخطط/295/ ب,قطعة 1215,2021-04-01,12439402,"ر.س.‏ 1,050,000",745.5,1408
جده,حي/الاجاويد,مخطط/295/ ب,قطعة 327,2021-04-12,12538825,"ر.س.‏ 400,000",600.0,667
جده,حي/الاجاويد,مخطط/295/ ب,قطعة 379,2021-04-04,12450426,"ر.س.‏ 800,000",550.0,1455
جده,حي/الاجاويد,مخطط/323/ ب,قطعة 773,2021-04-25,12638495,"ر.س.‏ 920,000",600.0,1533
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 121,2021-04-26,12638481,"ر.س.‏ 1,100,000",720.0,1528
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 18,2021-04-13,12543229,"ر.س.‏ 671,688",900.0,746
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 220/1,2021-04-23,12629461,"ر.س.‏ 450,000",450.0,1000
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 570/ب,2021-04-05,12461417,"ر.س.‏ 200,000",450.0,444
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 75/ب,2021-04-11,12521782,"ر.س.‏ 892,356",421.08,2119
جده,حي/الاجواد,مخطط/223/ ب,قطعة 1200,2021-04-15,12560798,"ر.س.‏ 500,000",400.0,1250
جده,حي/الاجواد,مخطط/223/ ب,قطعة 147,2021-04-13,12543395,"ر.س.‏ 930,000",400.0,2325
جده,حي/الاجواد,مخطط/223/ ب,قطعة 2266/أ,2021-04-04,12446233,"ر.س.‏ 600,000",337.5,1778
جده,حي/الاصالة,مخطط/372/ ب,قطعة 1061,2021-04-22,12629264,"ر.س.‏ 1,200,000",600.0,2000
جده,حي/الاصالة,مخطط/372/ ب,قطعة 197,2021-04-27,13189724,"ر.س.‏ 835,502",526.84,1586
جده,حي/الاصالة,مخطط/372/ ب,قطعة 305,2021-04-05,12457324,"ر.س.‏ 500,000",600.0,833
جده,حي/الاصالة,مخطط/372/ ب,قطعة 367/ب,2021-04-08,12495968,"ر.س.‏ 900,000",300.0,3000
جده,حي/الاصالة,مخطط/372/ ب,قطعة 45,2021-04-01,12439040,"ر.س.‏ 750,000",645.0,1163
جده,حي/الاصالة,مخطط/372/ ب,قطعة 456/أ,2021-04-03,12440532,"ر.س.‏ 1,300,000",300.0,4333
جده,حي/الاصالة,مخطط/372/ ب,قطعة 49,2021-04-11,12517221,"ر.س.‏ 1,100,000",735.66,1495
جده,حي/الاصالة,مخطط/372/ ب,قطعة 537,2021-04-08,12491114,"ر.س.‏ 900,000",600.0,1500
جده,حي/الاصالة,مخطط/372/ ب,قطعة 543/ب,2021-04-05,12457152,"ر.س.‏ 1,150,000",300.0,3833
جده,حي/الاصالة,مخطط/372/ ب,قطعة 877,2021-04-12,12538840,"ر.س.‏ 1,450,000",600.0,2417
جده,حي/الامواج,مخطط/251/ ب,قطعة 28,2021-04-25,12637445,"ر.س.‏ 1,350,000",750.0,1800
جده,حي/الامواج,مخطط/251/ ب,قطعة 368,2021-04-04,12450260,"ر.س.‏ 1,315,000",667.0,1972
جده,حي/الامواج,مخطط/420/ ج/ س,قطعة 628/ب,2021-04-15,12564871,"ر.س.‏ 700,000",300.0,2333
جده,حي/الامواج,مخطط/90/ ب/ 99,قطعة 115,2021-04-04,12448847,"ر.س.‏ 500,000",312.5,1600
جده,حي/الامواج,مخطط/90/ ب/ 99,قطعة 115,2021-04-05,12449080,"ر.س.‏ 500,000",312.5,1600
